Day,Date,Time,Comedian,Location,Price,Definite
Friday,14/05/2023,18:00,guy_mont_spelling_bee,comedy_store,30.6,yes
saturday,12/05/2023,20:20,guy_mont_brain,comedy_store,,
sunday,13/05/2023,20:20,guy_mont_brain,comedy_store,,
Monday,14/05/2023,19:20,guy_mont_brain,comedy_store,,
friday,05/05/2023,19:15,luke_heggie_grot,enmore,30,
Wednesday,26/04/2023,20:10,michelle_brasier_legacy,factory,30,yes
Thursday,27/04/2023,20:10,michelle_brasier_legacy,factory,30,yes
Friday,28/04/2023,20:10,michelle_brasier_legacy,factory,30,yes
saturday,29/04/2023,20:10,michelle_brasier_legacy,factory,30,yes
sunday,30/04/2023,19:10,michelle_brasier_legacy,factory,30,yes
Thursday,18/05/2023,18:50,nick_capper_cancer,factory,25,
Saturday,20/05/2023,18:50,nick_capper_cancer,factory,25,
Sunday,21/05/2023,17:50,nick_capper_cancer,factory,25,
Thursday,18/05/2023,20:10,nikki_britton_getting,factory,35,
saturday,20/05/2023,20:10,nikki_britton_getting,factory,35,
Sunday,21/05/2023,19:10,nikki_britton_getting,factory,35,
Thursday,11/05/2023,19:50,brett_blake_dogact,enmore,30,
Friday,12/05/2023,19:50,brett_blake_dogact,enmore,30,
saturday,13/05/2023,19:50,brett_blake_dogact,enmore,30,
sunday,14/05/2023,19:50,brett_blake_dogact,enmore,30,
